# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 1   1238  7.29  32.5   8.3  3.91 11.48 4.76e+13 156.5 1251 1224
 1   1265  7.62  33.0   7.9  4.15 10.47 4.34e+13 142.4 1279 1251
 1   1293  7.96  33.4   7.6  4.40  9.55 3.96e+13 129.5 1307 1279
 1   1321  8.31  33.8   7.2  4.66  8.69 3.60e+13 117.9 1336 1307
 1   1350  8.68  34.1   6.9  4.94  7.91 3.28e+13 107.3 1365 1336
 1   1380  9.07  17.2   4.7  3.70  3.60 2.98e+13  97.7 1395 1365
 1   1411  9.47  17.4   4.4  3.91  3.27 2.71e+13  89.0 1426 1395
 1   1442  9.90  17.5   4.2  4.13  2.97 2.46e+13  81.1 1457 1426
 1   1474 10.34  17.6   4.0  4.36  2.69 2.23e+13  74.0 1490 1457
 1   1506 10.80  17.6   3.8  4.60  2.44 2.03e+13  67.6 1523 1490
 1   1539 11.28  17.7   3.7  4.84  2.22 1.84e+13  61.8 1556 1523
 1   1573 11.78  17.7   3.5  5.10  2.01 1.67e+13  56.5 1590 1556
 1   1608 12.31  17.8   3.3  5.36  1.82 1.51e+13  51.8 1625 1590
 1   1643 12.86  17.8   3.2  5.63  1.65 1.37e+13  47.5 1661 1625
 1   1680 13.43  17.7   3.0  5.90  1.49 1.24e+13  43.7 1698 1661
 1   1717 14.03  17.7   2.9  6.19  1.35 1.12e+13  40.2 1735 1698
 1   1755 14.66  17.6   2.7  6.48  1.23 1.02e+13  37.1 1774 1735
 1   1793 15.31  17.5   2.6  6.77  1.11 9.21e+12  34.4 1813 1774
 1   1833 15.99  17.4   2.5  7.07  1.01 8.35e+12  31.9 1853 1813
 1   1873 16.71  17.3   2.3  7.37  0.91 7.57e+12  29.7 1894 1853
 1   1915 17.45  17.2   2.2  7.68  0.83 6.86e+12  27.7 1935 1894
 1   1957 18.23  17.0   2.1  7.99  0.75 6.23e+12  25.9 1978 1935
 1   2000 19.04  16.8   2.0  8.30  0.68 5.66e+12  24.4 2022 1978
 1   2044 19.89  16.6   1.9  8.60  0.62 5.14e+12  23.0 2066 2022
 1   2089 20.78  16.4   1.8  8.91  0.56 4.68e+12  21.8 2112 2066
 1   2135 21.71  16.2   1.8  9.21  0.51 4.26e+12  20.7 2159 2112
 2   1062  5.37  31.8   9.6  3.31 15.32 6.35e+13 242.5 1074 1051
 2   1086  5.61  32.4   9.2  3.52 14.02 5.81e+13 220.4 1098 1074
 2   1110  5.86  32.9   8.8  3.75 12.83 5.32e+13 200.2 1122 1098
 2   1134  6.12  33.5   8.4  3.98 11.73 4.86e+13 181.9 1147 1122
 2   1159  6.40  34.0   8.0  4.23 10.71 4.44e+13 165.3 1172 1147
 2   1185  6.68  34.5   7.7  4.49  9.78 4.05e+13 150.3 1198 1172
 2   1211  6.98  35.0   7.3  4.77  8.92 3.70e+13 136.6 1224 1198
 2   1238  7.29  35.4   7.0  5.05  8.14 3.37e+13 124.2 1251 1224
 2   1265  7.62  17.9   4.7  3.78  3.71 3.07e+13 113.0 1279 1251
 2   1293  7.96  18.1   4.5  4.00  3.38 2.80e+13 102.9 1307 1279
 2   1321  8.31  18.2   4.3  4.23  3.07 2.55e+13  93.8 1336 1307
 2   1350  8.68  18.4   4.1  4.47  2.80 2.32e+13  85.5 1365 1336
 2   1380  9.07  18.5   3.9  4.71  2.55 2.11e+13  78.1 1395 1365
 2   1411  9.47  18.5   3.7  4.96  2.32 1.92e+13  71.4 1426 1395
 2   1442  9.90  18.6   3.6  5.22  2.11 1.75e+13  65.3 1457 1426
 2   1474 10.34  18.6   3.4  5.49  1.92 1.59e+13  59.9 1490 1457
 2   1506 10.80  18.7   3.2  5.76  1.74 1.45e+13  55.0 1523 1490
 2   1539 11.28  18.7   3.1  6.03  1.59 1.32e+13  50.6 1556 1523
 2   1573 11.78  18.6   3.0  6.31  1.44 1.20e+13  46.7 1590 1556
 2   1608 12.31  18.6   2.8  6.59  1.31 1.09e+13  43.2 1625 1590
 2   1643 12.86  18.5   2.7  6.88  1.20 9.93e+12  40.0 1661 1625
 2   1680 13.43  18.4   2.6  7.17  1.09 9.05e+12  37.2 1698 1661
 2   1717 14.03  18.3   2.4  7.46  1.00 8.25e+12  34.7 1735 1698
 2   1755 14.66  18.1   2.3  7.74  0.91 7.53e+12  32.5 1774 1735
 2   1793 15.31  18.0   2.2  8.03  0.83 6.88e+12  30.5 1813 1774
 2   1833 15.99  17.8   2.1  8.31  0.76 6.30e+12  28.8 1853 1813
 2   1873 16.71  17.6   2.0  8.58  0.70 5.77e+12  27.3 1894 1853
 2   1915 17.45  17.4   2.0  8.85  0.64 5.29e+12  26.0 1935 1894
 2   1957 18.23  17.1   1.9  9.11  0.59 4.87e+12  24.9 1978 1935
 2   2000 19.04  16.9   1.8  9.35  0.54 4.48e+12  23.9 2022 1978
 2   2044 19.89  16.6   1.7  9.58  0.50 4.14e+12  23.2 2066 2022
 2   2089 20.78  16.3   1.7  9.79  0.46 3.83e+12  22.6 2112 2066
 2   2135 21.71  16.0   1.6  9.98  0.43 3.55e+12  22.1 2159 2112
 2   2182 22.68  15.7   1.5 10.15  0.40 3.30e+12  21.9 2206 2159
 2   2231 23.69  15.4   1.5 10.28  0.37 3.08e+12  21.8 2255 2206
 2   2280 24.74  15.0   1.4 10.39  0.35 2.88e+12  21.9 2305 2255
 3    952  4.32  32.7  10.4  3.14 17.98 7.45e+13 294.7  963  942
 3    973  4.51  33.3  10.0  3.34 16.48 6.83e+13 267.4  984  963
 3    995  4.71  34.0   9.5  3.56 15.09 6.25e+13 242.5 1006  984
 3   1017  4.92  34.6   9.1  3.80 13.80 5.72e+13 219.8 1028 1006
 3   1039  5.14  35.2   8.7  4.04 12.62 5.23e+13 199.2 1051 1028
 3   1062  5.37  35.9   8.3  4.30 11.53 4.78e+13 180.5 1074 1051
 3   1086  5.61  36.5   8.0  4.58 10.52 4.36e+13 163.5 1098 1074
 3   1110  5.86  37.0   7.6  4.87  9.60 3.98e+13 148.1 1122 1098
 3   1134  6.12  18.8   5.1  3.66  4.38 3.63e+13 134.2 1147 1122
 3   1159  6.40  19.0   4.9  3.88  3.99 3.30e+13 121.5 1172 1147
 3   1185  6.68  19.3   4.7  4.12  3.63 3.01e+13 110.1 1198 1172
 3   1211  6.98  19.5   4.5  4.37  3.31 2.74e+13  99.8 1224 1198
 3   1238  7.29  19.7   4.3  4.62  3.01 2.49e+13  90.5 1251 1224
 3   1265  7.62  19.8   4.1  4.89  2.74 2.27e+13  82.1 1279 1251
 3   1293  7.96  20.0   3.9  5.16  2.49 2.06e+13  74.5 1307 1279
 3   1321  8.31  20.1   3.7  5.45  2.26 1.87e+13  67.7 1336 1307
 3   1350  8.68  20.2   3.5  5.74  2.06 1.70e+13  61.5 1365 1336
 3   1380  9.07  20.3   3.4  6.04  1.87 1.55e+13  56.0 1395 1365
 3   1411  9.47  20.3   3.2  6.34  1.70 1.41e+13  51.1 1426 1395
 3   1442  9.90  20.3   3.1  6.66  1.55 1.28e+13  46.6 1457 1426
